Value;Quantity;RefDes;Footprint
1U;10;C1 C2 C7 C8 C9 C10 C11 C12 C13 C33;SM0805
100P;1;C6;SM0805
10U;8;C14 C15 C16 C17 C22 C23 C24 C25;SM0805
.01U;4;C18 C19 C20 C21;SM0805
NOPOP;5;C30 C31 C32 R16 R57;SM0805
10U;3;C3 C4 C5;SM1206
10U;4;C26 C27 C28 C29;SM1210
4.7U;1;L5;SM0805
0;13;R3 R5 R6 R15 R33 R42 R48 R49 R56 R59 R61 R62 R63;SM0805
0;20;R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R46 R47 R50 R51;SM0805-SB_2
1;1;R43;SM1206_NotOutline
10;1;R44;SM0805
15;1;R14;SM0805
100;2;R4 R45;SM0805
200;2;R1 R2;SM0805
715;2;R34 R37;SM0805
1000;1;R12;SM0805
1K;4;R39 R40 R58 R60;SM0805
1.3K;2;R53 R54;SM0805
3K;2;R38 R41;SM0805
5k;2;R35 R36;EVUE3K
5K;2;R11 R13;SM0805
5K;2;R7 R8;SM1206
9.1K;2;R52 R55;SM0805
200K;2;R9 R10;SM1206
